raw_content,dataset_name,document_name,content,answer,keywords
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"6
可能会获取您电脑上的信息。
7.建议对不同的电子支付方式分别设置合理的交易限额，每
次交易都请仔细核对交易内容，确认无误后再进行操作。在交易
未完成时不要中途离开交易终端，交易完成后应点击退出。
8.定期检查核对网上银行交易记录。可以通过定制银行短信
提醒服务和对账邮件，及时获得银行登录、余额变动、账户设置
变更等信息提醒",,"['设置', '定期检查', '后应', '信息', '无误', '核对', '提醒', '完成', '对账', '交易']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"
（五）网上银行安全工具组合（安全等级根据★的数量由高
到低）建议客户选择安全等级高的工具组合！
安全工具组合 安全等级
USBKey+短信口令 ★★★★★
网银证书+短信口令 ★★★★
USBKey ★★★
网银证书 ★★
短信口令 ★★
普通登录 ★
四、发现被骗，怎么办？
网络安全重在防范，一旦发现被骗，要在第一时间联系银行、
支付机构，采取相应应急措施，同时向当地警方报警。
（一）已经在钓鱼网站输入了密码怎么办？
1．如果您还能登录您的账户：请立刻修改您的支付密码和",,"['短信', '口令', 'USBKey', '工具', '证书', '安全等级', '登录', '组合', '网银', '密码']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"7
登录密码。同时，进入交易明细查询查看是否有可疑交易。如有，
须立刻致电银行或支付机构的客服电话。
2．如果您还输入了银行卡信息：请立刻致电银行申请临时
冻结账户或电话挂失（此时您的银行账户只能入账不能出账）。
3．如果您已经不能登录：请立刻致电银行或者支付机构的
客服电话，申请对您的账户进行暂时监管。
4．使用最新版的杀毒软件对电脑进行全面扫描，确保钓鱼
网站没有挂木马。如果发现有，请在确认电脑安全后再次修改登
录与支付密码",,"['电脑', '致电', '电话', '客服', '最新版', '登录', '支付', '银行', '密码', '账户']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"
（二）发现账户资金被盗怎么办？
1．要在第一时间修改账户密码，同时转出余额资金。
2．进入交易管理，查找可疑交易，保留对非授权的资金交
易。
3．如果被盗的是银行卡账户的话，请立刻致电银行申请临
时冻结账户或电话挂失(此时您的银行账户只能入账不能出账)",,"['挂失', '查找', '交易', '被盗', '出账', '资金', '入账', '银行', '账户', '对非']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"
五、金融 IC 卡知识问答
（一）什么是金融 IC 卡？
答：金融 IC 卡是由商业银行（信用社）或支付机构发行的，
采用集成电路技术，遵循国家金融行业标准，具有消费信用、转
账结算、现金存取全部或部分金融功能，可以具有其他商业服务
和社会管理功能的金融工具。",,"['行业标准', '金融工具', '存取', '卡是', '信用社', '金融', '问答', '功能', '具有', 'IC']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"8
它具有数据存储容量大，安全性高等特点，可实现非接触式
（“闪付”）应用，是基于传统金融支付并可无缝延伸至其他行业
小额支付的智能化产品。多应用金融 IC 卡能够实现政府公共服
务管理功能和金融支付功能，可以支持跨行业、跨平台、多功能
的应用。
（二）如何使用金融 IC 卡？
答：金融 IC 卡分为接触式与非接触式(“闪付”)两种。接
触式金融 IC 卡，可通过插入受理终端的读卡槽实现在 POS 和 ATM
上使用",,"['触式', '读卡', '实现', '金融', '应用', '支付', '接触式', '闪付', 'IC', '跨平台']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"如果是非接触式金融 IC 卡（或称闪付卡），用户可在支
持银联“闪付”的非接触式支付终端上轻松一挥便可快速完成支
付。一般来说，单笔金额不超过 1000 元，无需签名和输入密码。
（三）相比于传统磁条卡，金融 IC 卡的优势具体体现在哪
里？
答：金融 IC 卡的优势主要体现在三个方面。一是安全性高。
金融 IC 卡的信息存储在智能芯片中，卡内信息难以复制，加上
多重的交易认证流程，可以有效保障持卡人银行账户资金安全。
二是快捷便利",,"['1000', '体现', '或称', '金融', '接触式', '闪付', '卡内', '磁条卡', '优势', 'IC']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"
二是快捷便利。金融 IC 卡除具备磁条卡所有功能外，还可以进
行小额快速支付，轻松一挥便可支付，方便快捷。三是一卡多用。
金融 IC 卡可用于社保、交通、医疗、教育等公共领域。
（四）为什么说金融 IC 卡比一般的银行卡安全？
答：传统银行卡磁条技术相对简单，磁条信息易被复制，通
过使用磁条信息盗录装置复制银行卡磁道信息就可以伪造磁条",,"['卡比', '复制', '磁条', '信息', '金融', '磁道', '支付', '银行卡', 'IC', '磁条卡']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"9
银行卡，通过针孔摄像机在自助机终端上偷录持卡人密码就可以
盗用磁条银行卡，从而给持卡人和发卡机构造成较大损失。
而采用芯片技术能有效防范这类情况的发生。金融 IC 卡的
芯片实现了硬件升级，完善的密钥体系、脱机认证、联机双向认
证等更是保障了卡片的防伪性及交易的安全性。世界各地的实践
经验表明，在推广使用采用芯片技术的金融 IC 卡后，银行卡伪
卡案件大幅减少。
（五）金融 IC 卡产品主要分为哪些类型？
答：各商业银行已陆续推出众多各具特色的金融 IC 卡产品",,"['芯片', '脱机', '证等', '磁条', '金融', '性及', '银行卡', '偷录', 'IC', '持卡人']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"
按功能分，可分为借记卡、贷记卡、准贷记卡、电子现金等产品；
按信息存贮介质分，可分为仅有芯片的金融 IC 卡和既有芯片又
有磁条的双介质卡(业界又称“复合卡”)；按行业应用分，包括
市民卡、社保卡、公交卡、大学城一卡通等类型。
（六）未来金融 IC 卡会给人们的生活带来什么改变？
答：金融 IC 卡具有智能芯片，可集社保、交通、医疗、教
育、通讯、购物、娱乐、水电煤缴费等行业应用于一体，实现“一
卡多用”，让现在被各类卡片充满的钱包“瘦身”",,"['芯片', '社保卡', '一卡通', '介质', '贷记卡', '磁条', '金融', '可集', 'IC', '卡会']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"同时，其非接
触式支付功能可广泛应用于超市、便利店、百货、药房、快餐连
锁等零售场所和菜市场、停车场、加油站、旅游景点等公共服务
领域，轻轻一挥便可支付，提高持卡人生活舒适度和幸福感。
（七）如何知道我的金融 IC 卡是否具有非接功能？这种功
能在哪里可以使用？",,"['触式', '幸福感', '便利店', '旅游景点', '舒适度', '支付', '功能', '非接', 'IC', '其非接']"
,金融网络安全知识手册.pdf...,金融网络安全知识手册.pdf,"10
答：凡是金融 IC 卡卡面上具有“QuickPass”标识的卡片就
具有非接快速支付功能，也就是即挥即刷、快捷“闪付”的功能，
它可以在贴有“QuickPass”标识的终端上快速刷卡支付。目前
全国受理金融 IC 卡的非接触式支付终端超过 100 万台，覆盖超
市、便利店、百货、药房、快餐连锁等零售场所和菜市场、停车
场、加油站、旅游景点等公共服务领域。
（八）我该如何办理金融 IC 卡？
答：您只要携带有效身份证到各大商业银行网点，即可申请
办理金融 IC 卡。办理前可先致电银行客服热线，确保该网点可
受理该业务。",,"['QuickPass', '金融', '网点', '10', '支付', '标识', '受理', '办理', 'IC', '终端']"
